ar,country_ar,en,country_en
  ديار العافية, الجزائر, Diar El Afia,Algeria
 (ربيعة (كبلي, سوريا, Rabia (Gaballe),Syrian Arab Republic
 آبا, نيجيريا, Aba,Nigeria
 آبالاك, النيجر,Abalak,Niger
 آبريستويث, المملكة المتحدة, Aberystwyth,UK
 آبلة, أسبانيا,Ávila,Spain
 آبيكو، تشيبا, اليابان, Abiko,Japan
 آتكابامي, توجو,Atakpamé,Togo
 آتنغل, الهند,Attingal,India
 آخالتسيخه, جورجيا, Akhaltsikhe,Georgia
 آخرن, ألمانيا,Achern,Germany
 آخن, ألمانيا,Aachen,Germany
 آدابازاري, تركيا, Adapazarı,Turkey
 آدماوة, نيجيريا, Adamawa,Nigeria
 آدو إكيتي, نيجيريا,Ado Ekiti,Nigeria
 آراك, ايران, Arak,Iran 
 آراو، كوماموتو, اليابان, Arao,Japan
 آربا مينش, اثيوبيا, Arba Minch,Ethiopia
 آرفي, الهند,Arvi,India
 آرنسبرغ, ألمانيا,Arnsberg,Germany
 آرهوس, الدانمرك,Aarhus,Denmark
 آزاد كشمير, باكستان, Azad Kashmir,Pakistan
 آسا, المغرب, Assa,Morocco
 آسام, الهند, Assam,India
 آساهي، تشيبا, اليابان, Asahi,Japan
 آستارا, ايران, Astara,Iran 
 آستارا, أذربيجان,Astara,Azerbaijan
 آسفي, المغرب, Safi,Morocco
 آسلار, ألمانيا,Aßlar,Germany
 آشتي, الهند,Ashti,India
 آشيا، هيوغو, اليابان, Ashiya,Japan
 آشيامان, غانا, Ashaiman,Ghana
 آغجلر, العراق, Aghjalar,Iraq
 آفلو, الجزائر, Aflou,Algeria
 آق سراي, تركيا,Aksaray,Turkey
 آكس أون بروفانس, فرنسا,Aix-en-Provence,France
 آكيتين الجديدة, فرنسا,Nouvelle-Aquitaine,France
 آلاساي, أفغانستان, Alasay,Afghanistan
 آلبورغ, الدانمرك,Aalborg,Denmark
 آلتوتينغ, ألمانيا,Altötting,Germany
 آلتينوفا, تركيا, Altınova,Turkey
 آلدرني, جيرنزي,Alderney,Guernsey
 آلميره, هولندا,Almere,Netherlands
 آمبرغ, ألمانيا,Amberg,Germany
 آمرج, موريتانيا, Amourj,Mauritania
 آمرلي, العراق, Amirli,Iraq
 آنخلس, الفيلبين, Angeles,Philippines
 آنسباخ, ألمانيا, Ansbach,Germany
 آنسي, فرنسا,Annecy,France
 آنغرا دو هروئيسمو, البرتغال,Angra do Heroísmo,Portugal
 آنغلت, فرنسا,Anglet,France
 آنوبون, غينيا الاستوائية,Annobón,Equatorial Guinea
 آني, النيجر,Aney,Niger
 آواروآ, جزر كوك, Avarua,Cook Islands
 آوموري، آوموري, اليابان, Aomori,Japan
 آويرو, البرتغال,Aveiro,Portugal
 آيا نابا, قبرص, Ayia Napa,Cyprus
 آيابه، كيوتو, اليابان, Ayabe,Japan
 آيت إسحاق, المغرب, Aït Ishaq,Morocco
 آيت ايعزة, المغرب, Ait Iaaza,Morocco
 آيت بوبيدمان, المغرب, Ait Boubidmane,Morocco
 آيت عتاب, المغرب, Ait Aatab,Morocco
 آيت يادين, المغرب, Ait Yadine,Morocco
 آيت يحيى موسى, الجزائر, Ait Yahia Moussa,Algeria
 آيت يعزم, المغرب, Ait Yaazem,Morocco
 آيت يني, الجزائر, Beni Yenni,Algeria
 آيزول, الهند, Aizawl,India
 آيساي، آيتشي, اليابان, Aisai,Japan
 آيسلندا, أيسلندا, Iceland,Iceland
 آيشا, اثيوبيا,Ayesha,Ethiopia
 آيشاخ, ألمانيا,Aichach,Germany
 آيشتيت, ألمانيا,Eichstätt,Germany
 أب دي برغ, جنوب أفريقيا,Op die Berg,South Africa
 أباتيتي, روسيا, Apatity,Russian Federation
 أباستوفو, روسيا, Apastovo,Russian Federation
 أباشيري، هوكايدو, اليابان, Abashiri,Japan
 أباكان, روسيا, Abakan,Russian Federation
 أبالا, اثيوبيا, Ab'aala,Ethiopia
 أبخ, جيبوتي, Obock,Djibouti
 أبخازيا, جورجيا, Abkhazia,Georgia
 أبدة, أسبانيا,Úbeda,Spain
 أبدي, تشاد, Abdi,Chad
 أبردين, المملكة المتحدة, Aberdeen,UK
 أبرنطس, ايطاليا,Brindisi,Italy
 أبريشم, ايران, Abrisham,Iran 
 أبشي, تشاد, Abéché,Chad
 أبشيرونسك, روسيا, Apsheronsk,Russian Federation
 أبقيق, السعودية, Abqaiq,Saudi Arabia
 أبلاهوي, بنين,Aplahoué,Benin
 أبلسة, الجزائر, Abalessa,Algeria
 أبنغورو, ساحل العاج, Abengourou,Cote d’Ivoire
 أبها, السعودية, Abha,Saudi Arabia
 أبو الأبيض, الامارات العربية المتحدة, Abu Al Abyad,United Arab Emirates
 أبو الحسن, الجزائر, Abou El Hassen,Algeria
 أبو الخصيب, العراق, Abu Al-Khaseeb,Iraq
 أبو الشقوق, مصر, Abu al Shuquq,Egypt
 أبو الضهور, سوريا, Abu ad Duhur,Syrian Arab Republic
 أبو المطامير, مصر, Abu al Matamir,Egypt
 أبو جبيهة, السودان, Abu Jibeha,Sudan
 أبو حراز, السودان, Abu Haraz,Sudan
 أبو حمام, سوريا, Abu Hammam,Syrian Arab Republic
 أبو حمد, السودان, Abu Hamad,Sudan
 أبو حمد, السودان,أبو حمد,Sudan
 أبو ديس, فلسطين, Abu Dis, Palestinian
 أبو رديس, مصر, Abu Rudays,Egypt
 أبو رماد, مصر, Abu Ramad,Egypt
 أبو زنيمة, مصر, Abu Zenima,Egypt
 أبو سليم, ليبيا, Abu Salim,Libya
 أبو ضياء, تشاد, Aboudéïa,Chad
 أبو ظبي, الامارات العربية المتحدة, Abu Dhabi,United Arab Emirates
 أبو عجورة, السودان, Abu `Ajurah,Sudan
 أبو عريش, السعودية, Abu `Arish,Saudi Arabia
 أبو غريب, العراق, Abu Ghraib,Iraq
 أبو غيلان, ليبيا, Abu Ghaylan,Libya
 أبو قرقاص, مصر, Abu Qurqas,Egypt
 أبو قرين, ليبيا, Abu Qurayn,Libya
 أبو قير, مصر, Abu Qir,Egypt
 أبو كبير, مصر, Abu Kabir,Egypt
 أبو كمال, سوريا, Abu Kamal,Syrian Arab Republic
 أبو معن, السعودية, Bani M`en,Saudi Arabia
 أبو منقار, مصر, Abu Minqar,Egypt
 أبوالسداد, السعودية,أبوالسداد,Saudi Arabia
 أبوالسلع, السعودية, Abu as Sala,Saudi Arabia
 أبوبو, ساحل العاج,Abobo,Cote d’Ivoire
 أبوت آباد, باكستان, Abbottabad,Pakistan
 أبوجا, نيجيريا, Abuja,Nigeria
 أبومية, بنين,Abomey,Benin
 أبي صيدا, العراق, Abi Sayda,Iraq
 أبي غرق, العراق, Abu Gharaq,Iraq
 أبيا, ساموا, Apia,Samoa
 أبيدجان, ساحل العاج, Abidjan,Cote d’Ivoire
 أبيي, السودان, Abyei,Sudan
 أتابي, تركيا,Atabey,Turkey
 أتارا هازاري, باكستان, Atharan Hazari,Pakistan
 أتاشهير, تركيا,Ataşehir,Turkey
 أتاكورا, بنين, Atakora,Benin
 أتامي، شيزوكا, اليابان, Atami,Japan
 أتشنغ, الصين, Acheng,China
 أتك, باكستان, Attock,Pakistan
 أتكارسك, روسيا, Atkarsk,Russian Federation
 أتلانتا، جورجيا, الولايات المتحدة, Atlanta,United States of America
 أتي, تشاد, Ati,Chad
 أث دوالة, الجزائر, At Dwala,Algeria
 أثينا, اليونان, Athens,Greece
 أثينو, قبرص, Athienou,Cyprus
 أجاكسيو, فرنسا,Ajaccio,France
 أجمير, الهند, Ajmer,India
 أجهور الكبرى, مصر, Aghour Al-Kubra,Egypt
 أجيم, تونس, Ajim,Tunisia
 أحد المسارحة, السعودية, Ahad al Musarihah,Saudi Arabia
 أحد رفيدة, السعودية, Ahad Rufaidah,Saudi Arabia
 أحد كورت, المغرب, Had Kourt,Morocco
 أحفير, المغرب, Ahfir,Morocco
 أحمد آباد, الهند, Ahmedabad,India
 أحمد آباد, الهند,Amdabad,India
 أحمد بور سيال, باكستان, Ahmadpur Sial,Pakistan
 أحمد نغر, الهند, Ahmednagar,India
 أحمدبور, الهند,Ahmadpur,India
 أحمر العين, الجزائر, Ahmer El Ain,Algeria
 أحور, اليمن, Ahwar,Yemen
 أخلاط, تركيا,Ahlat,Turkey
 أدا لار, تركيا, Prince Islands,Turkey
 أداتشي، طوكيو, اليابان, Adachi,Japan
 أداكلي, تركيا,Adaklı,Turkey
 أداما, اثيوبيا, Adama,Ethiopia
 أدرار, الجزائر, Adrar,Algeria
 أدرنة, تركيا,Edirne,Turkey
 أدري, تشاد, Adré,Chad
 أدكار, الجزائر, Adekar,Algeria
 أدم, عمان, Adam,Oman
 أدهمبور, الهند, Udhampur,India
 أدوك, جنوب السودان, Adok,South Sudan
 أديامان, تركيا, Adıyaman,Turkey
 أديس أبابا, اثيوبيا, Addis Ababa,Ethiopia
 أديشا, الهند, Odisha,India
 أديغيسك, روسيا, Adygeysk,Russian Federation
 أديليد, أستراليا,Adelaide,Australia
 أذربيجان, أذربيجان, Azerbaijan,Azerbaijan
 أذربيجان الشرقية, ايران, East Azarbaijan,Iran 
 أذربيجان الغربية, ايران, West Azarbaijan,Iran 
 أراد, رومانيا, Arad,Romania
 أرادا, تشاد, Arada,Chad
 أراديبو, قبرص, Aradhippou,Cyprus
 أرارا, السودان, Arara,Sudan
 أراك صالح, السودان, Arak Salih,Sudan
 أراكاجو, البرازيل, Aracaju,Brazil
 أراكاوا، طوكيو, اليابان, Arakawa,Japan
 أربوثياس, أسبانيا,Arbúcies,Spain
 أربيل, العراق, Erbil,Iraq
 أرتوين, تركيا, Artvin,Turkey
 أرتيموفي, أوكرانيا, Zalizne,Ukraine
 أرتيميفسك, أوكرانيا, Bakhmut,Ukraine
 أرتيوم, روسيا, Artyom,Russian Federation
 أرخانغلسك, روسيا, Arkhangelsk,Russian Federation
 أرداهان, تركيا, Ardahan,Turkey
 أردكان, ايران, Ardakan,Iran 
 أردو, تركيا, Ordu,Turkey
 أرزينجان, تركيا, Erzincan,Turkey
 أرزيو, الجزائر, Arzew,Algeria
 أرسوز, تركيا,Arsuz,Turkey
 أرض الصومال, الصومال, Somaliland,Somalia
 أرضروم, تركيا, Erzurum,Turkey
 أرغون, أسبانيا, Aragon,Spain
 أرفادا, الولايات المتحدة,Arvada,United States of America
 أرفود, المغرب, Arfoud,Morocco
 أركاليك, كازاخستان, Arkalyk,Kazakhstan
 أركوس دي فالديفيز, البرتغال,Arcos de Valdevez,Portugal
 أركوم, تشاد, Arkoum,Chad
 أرليانش, فرنسا,Orléans,France
 أرليت, النيجر, Arlit,Niger
 أرمافير, روسيا, Armavir,Russian Federation
 أرمناز, سوريا, Armanaz,Syrian Arab Republic
 أرموتلو, تركيا,Armutlu,Turkey
 أرمينيا, أرمينيا, Armenia,Armenia
